Address of Plants,Latitude,Longitude
"  Asian Gases Industries, No.102/02/1, Kusnoor Industrial Area, Shahabad Road, Kalaburagi- 585 105",17.283673,76.87114
"  Amogh Gases Pvt. Ltd., Plot No. 9A, KIADB Industrial Area, Hirehalli Village, UdigereHobli, Tumakuru District- 572 168",12.979795,77.548328
"  Bentley India, No. 56, Bidadi
Industrial Area, Sector-2, 2nd Phase, Bidadi, Ramanagar District -562 109",12.784052,77.412701
"  Belgaum Oxygen Pvt. Ltd., Plot No.25/26, Kakati Industrial Area, Belgaum",15.849695,74.497674
"M/s: Bellary Oxygen Company Pvt. Ltd.,No.855, TPD Plant JSK Ltd., Village Torangallu-583123",15.139393,76.921443
"  Bhoruka Gases Ltd., Whitefield Road, Mahadevapura,
Bangalore – 48",12.988564,77.705636
"  Gadag Oxygen Pvt. Ltd., Sy.No. 19/6, NH-63, Near Ginigera- 583 228, Kanakapur Village, Tal.
Koppal",15.346599,76.248665
"  H. S. Kanthi Industrial Gases Private Limited,Sy. No. 64A/26, Sigikeri Village, Navanagar-Sangam Road, Bagalkot – 587 111",16.145557,75.709593
"  Inox Air Products Ltd., Plot No. 44B(P), KIADB Industrial Area., Hoskote, Bangalore-562114",13.069259,77.798243
"  Kamath Industrial Gases., No.30, MPL KIADB Industrial area, Nidige Post, Machenahalli,Shimoga-
577 222",13.887046,75.630265
"  Karnataka Industrial Gases Pvt
Ltd., 110, SatturIndl. Area, Sattur, Dharwad - 580 009",15.419852,75.04031
"  Malbar Oxygen Pvt. Ltd., Plot No.1898, Baikampady Ind. Area., Mangalore 11, D.K.Dist",12.950632,74.818424
"  MSPL Gases Ltd,  Plot No. 114, KIADB, Raichur Growth Center, Raichur",16.258197,77.362081
"  Mahathi Oxygen Company, No. 410-413/45(Part1), Hebbal Industrial Area, KasabaHobli, Mysuru - 570
016",12.361441,76.600833
"  Padaki Air Products.,
Plot No: 226-A, Part 1 & 2,Hebbal Industrial Area,Mysore-570 016",12.353714,76.592006
"  POC Gases,
6B, KIADB Industrial Area, Deosugur,Raichur – 584 170",16.343769,77.340366
"  Praxair India Pvt Ltd.,Hospet Steels Site, Gingera, Koppal, District
-583 228",15.338673,76.252257
"  Praxair India Pvt. Ltd., 27, A/1, KIADB Indl Area.,
Doddaballapur",12.947753,74.821469
"  Praxair India Pvt. Ltd.,
No. 194, KIADB Industrial Growth
Centre, Mummygatti Village, Belur, Dharwad – 580 008",15.37784,75.247906
"  Praxair India Pvt. Ltd.,
ASU Division of Toranagallu, Inside the Premises of JSW Steel Limited, (Survey No.343, T-1600 Plant, BLOCK-JSW-II),  P. B. No. 04,
Vidyanagar Post, Toranagallu, Bellary District",15.20268,76.658693
"  Pai Air Products, # 7/1/92/4, West Pipe Line Road, Kasturba Nagar, Mysuru Road, Bengaluru -
560 026",12.952631,77.551026
"  Raichur Industrial Gases survey No.836, 841, 842/2, Gadwal Road, Raichur-584102",16.216018,77.356561
"  Shri Padmavati Industrial Gases, Plot No.122/A/1, Betkuli, Kumta Taluk, Karwar District - 581 333",14.533839,74.400096
"  SreeRenuka Industrial Gases, Sy. No. 10/1A-2B, Door No. 472/1, Karur Industrial Area, Near Panchalingeshwara Temple, P.B. Road, Davanagere-577006.",14.459104,75.932119
"  Sandeep Gases,
Plot No. 310/C, Sankalapur Industrial Area, Bellary Road, Hospet – 583 201",15.268854,76.390924
"  Southern Gas Ltd.,
10F, Indl.  Area, II Phase Peenya, Bangalore-58",13.038634,77.512059
"  Southern Gas Ltd.,S.No.17, Paper Town,Bhadravathi - 577302",13.813026,75.705165
"  Southern Oxygen Co.,Pvt., Ltd., Sy.No.623, Srinivas Saradgi, Gulbarga",17.321248,76.952784
"  Sri. Venkateshwara Air Products, Plot No.1, 1st Phase, KIADB Industrial Area,   Malur-563130.",12.979258,77.922555
"  Skanda Industrial Gases,Plot No. 33- B, II Stage,Mundargi Industrial Area,Bengaluru Road,Bellary – 583 102.",15.107815,76.909565
"  The Southern Gas Ltd.,
No. 274/1, Next to Durgadevi Temple Road, Gokul BO, Tarihal Road, Hubli-
580030",15.373312,75.076249
"  The Southern Gas Ltd.,
Plot No. 293, Sy.No. 369, Hebbal Industrial Area, Kasaba, Mysore - 570016",12.348645,76.623972
"  The Southern Gas Ltd.,
Plot No. C-2 (Special Type), Industrial Estate, Opp. The Mysore Kirloskar Ltd, Yantrapur Post, Harihar- 577602",14.515222,75.807161
"  Trinetra Gases,
Plot No. 104/P2, KIADB,
KadakolaIndl. Area, Nanjangud Road, Mysore - 521 311",12.366144,76.62529
"  Universal Air Products Pvt. Ltd., Plot No. 10, Part-I, KIADB Indl. Area, Kunigal - 572 130, Tumkur District",13.031095,77.080952
"  Universal Air Products Pvt. Ltd.,Plot No. P-22, P-22A, 3rd Stage, Peenya Industrial Area, Bengaluru – 560 058",12.996676,77.692684
"  Vinay Gas Products., Plot No.75, KIADB Industrial Area, Mundrigi Village, Bellary - 583 101",15.136592,76.924279
"  Vijay Oxy and Industrial Gases, Plot No. 85/P9, KIADB Industrial Area, Nandur, KesaratagiShahbad Road,Kalaburagi – 585 229.",17.387786,76.863448
"  Sri Venkateswara Air Products, Plot No. 141-B, KIADB, Mundargi, Industrial Area, Ballari – 583 101",15.095992,76.902414
